Metrics:
mean: 140.24, std: 6.24, bottom_mean: 128.0, loss: 220821.16
mean: 149.04, std: 7.12, bottom_mean: 137.0, loss: 284265.28
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 485093.34
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 143527.48
mean: 199.96, std: 0.4, bottom_mean: 196.0, loss: 217281.41
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 210355.03
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 350780.22
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 137594.03
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 350651.5
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 589042.75
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 303820.75
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 378281.22
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 356697.88
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 629050.75
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 488038.22
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 799509.0
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 544708.62
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 923191.25
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1351687.0
mean: 191.87, std: 8.27, bottom_mean: 175.0, loss: 1467296.75
mean: 175.87, std: 10.07, bottom_mean: 156.0, loss: 463872.0
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 650226.5
mean: 198.42, std: 3.72, bottom_mean: 181.0, loss: 644566.12
mean: 199.99, std: 0.1, bottom_mean: 199.0, loss: 1090030.75
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1186767.12
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1493176.88
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1195639.62
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 890733.62
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1123466.25
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 856692.0
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1312727.5
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1511299.88
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 945001.0
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1043046.0
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2214715.75
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 2005373.62
mean: 200.0, std: 0.0, bottom_mean: 200.0, loss: 1629675.12
